   9.4785816e-01   9.6814916e-01
   9.5098008e-01   9.6812721e-01
   9.5453539e-01   9.6818391e-01
   9.5443312e-01   9.6731464e-01
   9.5260279e-01   9.6730169e-01
   9.5914703e-01   9.6795251e-01
   9.6123979e-01   9.6863294e-01
   9.5911262e-01   9.6721464e-01
   9.6341367e-01   9.6699749e-01
   9.6176160e-01   9.6376335e-01
   9.6440179e-01   9.6535981e-01
   9.6413429e-01   9.6380998e-01
   9.6552493e-01   9.6448606e-01
   9.6527741e-01   9.6418934e-01
   9.6383662e-01   9.6362805e-01
   9.6517799e-01   9.6354345e-01
   9.6524936e-01   9.6446521e-01
   9.6490792e-01   9.6421400e-01
   9.6474159e-01   9.6452045e-01
   9.5992597e-01   9.5992597e-01
   9.6371703e-01   9.6416254e-01
   9.6266155e-01   9.6377104e-01
   9.6189372e-01   9.6355993e-01
   9.6017654e-01   9.6306142e-01
   9.5833282e-01   9.6292737e-01
   9.5801218e-01   9.6258964e-01
   9.5671025e-01   9.6236106e-01
   9.5464906e-01   9.6096286e-01
   9.5400074e-01   9.6379587e-01
   9.5046906e-01   9.6074565e-01
   9.5346013e-01   9.6397672e-01
   9.5247704e-01   9.6073965e-01
   9.5284727e-01   9.6254050e-01
   9.5196293e-01   9.6150515e-01
   9.4980993e-01   9.6026530e-01
   9.4963879e-01   9.6019127e-01
   9.4827217e-01   9.6062816e-01
   9.4669286e-01   9.6001480e-01
   9.4626172e-01   9.5988958e-01
   9.4178194e-01   9.5986133e-01
   9.4522315e-01   9.5978938e-01
   9.4500234e-01   9.6019724e-01
   9.4452868e-01   9.5981899e-01
   9.4139914e-01   9.5935229e-01
   9.4038987e-01   9.5887753e-01
   9.3974034e-01   9.5858711e-01
   9.3990121e-01   9.5841938e-01
   9.3345640e-01   9.5811517e-01
   9.3653574e-01   9.5825921e-01
   9.2760501e-01   9.5762973e-01
